,loss_train
431,1.2938040494918823
432,1.3335992097854614
433,1.3999119997024536
434,1.4054837226867676
435,1.2805453538894653
436,1.3398313522338867
437,1.2439749240875244
438,1.3588006496429443
439,1.1776989698410034
440,1.4776536226272583
441,0.9828147292137146
442,1.4269897937774658
443,1.28733491897583
444,1.356164574623108
445,1.254919171333313
446,1.1598842144012451
447,1.335475206375122
448,1.3060226440429688
449,1.286971092224121
450,1.2541967630386353
451,1.128556728363037
452,1.2336753606796265
453,1.1960276365280151
454,1.0579230785369873
455,1.2939064502716064
456,1.3522834777832031
457,1.1035631895065308
458,1.2050870656967163
459,1.2082347869873047
460,1.3559390306472778
461,1.129231572151184
462,1.2946946620941162
